John ate an apple yesterday in Moscow. {John, ate an apple, yesterday, Moscow}
Alice bought a book last week at the park. {Alice, bought a book, last week, the park}
Mike played with a football this morning at the beach. {Mike, played with a football, this morning, the beach}
Emma met her friends on Sunday at home. {Emma, met her friends, on Sunday, home}
John played with his friends yesterday at the park. {John, played with his friends, yesterday, the park}
Alice ate lunch last week at the beach. {Alice, ate lunch, last week, the beach}
Mike bought a new phone this morning at home. {Mike, bought a new phone, this morning, home}
Emma met John on Sunday at the park. {Emma, met John, on Sunday, the park}
John played soccer yesterday at the beach. {John, played soccer, yesterday, the beach}
Alice read a book last week at home. {Alice, read a book, last week, home}
Mike went jogging this morning at the park. {Mike, went jogging, this morning, the park}
Emma had breakfast on Sunday at home. {Emma, had breakfast, on Sunday, home}
John ate dinner yesterday in Moscow. {John, ate dinner, yesterday, Moscow}
Alice bought groceries last week at the store. {Alice, bought groceries, last week, the store}
Mike played video games this morning at home. {Mike, played video games, this morning, home}
Emma met her friends on Sunday at the mall. {Emma, met her friends, on Sunday, the mall}
John studied yesterday at home. {John, studied, yesterday, home}
Alice cooked dinner last week at home. {Alice, cooked dinner, last week, home}
Mike watched a movie this morning at the cinema. {Mike, watched a movie, this morning, the cinema}
Emma went shopping on Sunday at the mall. {Emma, went shopping, on Sunday, the mall}
John walked his dog yesterday at the park. {John, walked his dog, yesterday, the park}
Alice had a picnic last week at the beach. {Alice, had a picnic, last week, the beach}
Mike played basketball this morning at the gym. {Mike, played basketball, this morning, the gym}
Emma visited her grandparents on Sunday at their house. {Emma, visited her grandparents, on Sunday, their house}
John cleaned his room yesterday at home. {John, cleaned his room, yesterday, home}
Alice went for a run last week at the park. {Alice, went for a run, last week, the park}
Mike had lunch this morning at the cafe. {Mike, had lunch, this morning, the cafe}
Emma studied on Sunday at the library. {Emma, studied, on Sunday, the library}
John played guitar yesterday at home. {John, played guitar, yesterday, home}
Alice went swimming last week at the pool. {Alice, went swimming, last week, the pool}
Mike attended a meeting this morning at work. {Mike, attended a meeting, this morning, work}
Emma volunteered on Sunday at the shelter. {Emma, volunteered, on Sunday, the shelter}
